id,pct_proposition,category
pc-1,"If economic globalisation is inevitable, it should primarily serve humanity rather than the interests of trans-national corporations.",your country and the world
pc-2,"I’d always support my country, whether it was right or wrong.",your country and the world
pc-3,"No one chooses their country of birth, so it’s foolish to be proud of it.",your country and the world
pc-4,"Our race has many superior qualities, compared with other races.",your country and the world
pc-5,The enemy of my enemy is my friend.,your country and the world
pc-6,Military action that defies international law is sometimes justified.,your country and the world
pc-7,There is now a worrying fusion of information and entertainment.,your country and the world
pc-8,People are ultimately divided more by class than by nationality.,economy
pc-9,Controlling inflation is more important than controlling unemployment.,economy
pc-10,"Because corporations cannot be trusted to voluntarily protect the environment, they require regulation.",economy
pc-11,"“from each according to his ability, to each according to his need” is a fundamentally good idea.",economy
pc-12,"The freer the market, the freer the people.",economy
pc-13,"It’s a sad reflection on our society that something as basic as drinking water is now a bottled, branded consumer product.",economy
pc-14,Land shouldn’t be a commodity to be bought and sold.,economy
pc-15,It is regrettable that many personal fortunes are made by people who simply manipulate money and contribute nothing to their society.,economy
pc-16,Protectionism is sometimes necessary in trade.,economy
pc-17,The only social responsibility of a company should be to deliver a profit to its shareholders.,economy
pc-18,The rich are too highly taxed.,economy
pc-19,Those with the ability to pay should have access to higher standards of medical care.,economy
pc-20,Governments should penalise businesses that mislead the public.,economy
pc-21,A genuine free market requires restrictions on the ability of predator multinationals to create monopolies.,economy
pc-22,"Abortion, when the woman’s life is not threatened, should always be illegal.",personal social values
pc-23,All authority should be questioned.,personal social values
pc-24,An eye for an eye and a tooth for a tooth.,personal social values
pc-25,Taxpayers should not be expected to prop up any theatres or museums that cannot survive on a commercial basis.,personal social values
pc-26,Schools should not make classroom attendance compulsory.,personal social values
pc-27,"All people have their rights, but it is better for all of us that different sorts of people should keep to their own kind.",personal social values
pc-28,Good parents sometimes have to spank their children.,personal social values
pc-29,It’s natural for children to keep some secrets from their parents.,personal social values
pc-30,Possessing marijuana for personal use should not be a criminal offence.,personal social values
pc-31,The prime function of schooling should be to equip the future generation to find jobs.,personal social values
pc-32,People with serious inheritable disabilities should not be allowed to reproduce.,personal social values
pc-33,The most important thing for children to learn is to accept discipline.,personal social values
pc-34,There are no savage and civilised peoples; there are only different cultures.,personal social values
pc-35,"Those who are able to work, and refuse the opportunity, should not expect society’s support.",personal social values
pc-36,"When you are troubled, it’s better not to think about it, but to keep busy with more cheerful things.",personal social values
pc-37,First-generation immigrants can never be fully integrated within their new country.,personal social values
pc-38,"What’s good for the most successful corporations is always, ultimately, good for all of us.",personal social values
pc-39,"No broadcasting institution, however independent its content, should receive public funding.",personal social values
pc-40,Our civil liberties are being excessively curbed in the name of counter-terrorism.,wider society
pc-41,A significant advantage of a one-party state is that it avoids all the arguments that delay progress in a democratic political system.,wider society
pc-42,"Although the electronic age makes official surveillance easier, only wrongdoers need to be worried.",wider society
pc-43,The death penalty should be an option for the most serious crimes.,wider society
pc-44,"In a civilised society, one must always have people above to be obeyed and people below to be commanded.",wider society
pc-45,Abstract art that doesn’t represent anything shouldn’t be considered art at all.,wider society
pc-46,"In criminal justice, punishment should be more important than rehabilitation.",wider society
pc-47,It is a waste of time to try to rehabilitate some criminals.,wider society
pc-48,The businessperson and the manufacturer are more important than the writer and the artist.,wider society
pc-49,"Mothers may have careers, but their first duty is to be homemakers.",wider society
pc-50,"Almost all politicians promise economic growth, but we should heed the warnings of climate science that growth is detrimental to our efforts to curb global warming.",wider society
pc-51,Making peace with the establishment is an important aspect of maturity.,wider society
pc-52,Astrology accurately explains many things.,religion
pc-53,You cannot be moral without being religious.,religion
pc-54,Charity is better than social security as a means of helping the genuinely disadvantaged.,religion
pc-55,Some people are naturally unlucky.,religion
pc-56,It is important that my child’s school instills religious values.,religion
pc-57,Sex outside marriage is usually immoral.,sex
pc-58,"A same sex couple in a stable, loving relationship should not be excluded from the possibility of child adoption.",sex
pc-59,"Pornography, depicting consenting adults, should be legal for the adult population.",sex
pc-60,What goes on in a private bedroom between consenting adults is no business of the state.,sex
pc-61,No one can feel naturally homosexual.,sex
pc-62,These days openness about sex has gone too far.,sex
